MSSubClass,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,X1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,11478,Reg,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,GLQ,1218,486,1704,Ex,Y,SBrkr,1704,1704,1,2,0,3,1,Gd,7,Attchd,RFn,3,772,TA,TA,Y,5,2010,WD,Normal,306000
20,RL,16321,IR1,CulDSac,NAmes,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,BLQ,1277,207,1484,TA,Y,SBrkr,1600,1600,1,1,0,2,1,TA,6,Attchd,RFn,1,319,TA,TA,Y,12,2006,WD,Normal,207500
30,RM,6324,IR1,Inside,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,Unf,0,520,520,Fa,N,SBrkr,520,520,0,1,0,1,1,Fa,4,Detchd,Unf,1,240,Fa,TA,Y,5,2008,WD,Normal,68500
70,C (all),8500,Reg,Inside,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,Unf,0,649,649,TA,N,SBrkr,649,1317,0,1,0,3,1,TA,6,Detchd,Unf,1,250,TA,Fa,N,7,2008,WD,Normal,40000
20,RL,8544,IR1,CulDSac,Sawyer,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,Unf,0,1228,1228,Gd,Y,SBrkr,1228,1228,0,1,1,3,1,Gd,6,Attchd,Unf,1,271,TA,TA,Y,6,2008,WD,Normal,149350
20,RL,11049,Reg,Corner,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,Unf,0,1234,1234,Ex,Y,SBrkr,1234,1234,0,2,0,3,1,Gd,7,Attchd,RFn,2,484,TA,TA,Y,1,2008,WD,Normal,179900
20,RL,10552,IR1,Inside,NAmes,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,Rec,1018,380,1398,Gd,Y,SBrkr,1700,1700,0,1,1,4,1,Gd,6,Attchd,RFn,2,447,TA,TA,Y,4,2010,WD,Normal,165500
120,RL,7313,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,GLQ,1153,408,1561,Ex,Y,SBrkr,1561,1561,1,2,0,2,1,Ex,6,Attchd,Fin,2,556,TA,TA,Y,8,2007,WD,Normal,277500
60,RL,13418,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,Unf,0,1117,1117,Ex,Y,SBrkr,1132,2452,0,3,1,4,1,Gd,9,BuiltIn,Fin,3,691,TA,TA,Y,9,2006,WD,Normal,309000
20,RL,10859,Reg,Corner,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,Unf,0,1097,1097,Ex,Y,SBrkr,1097,1097,0,1,1,3,1,TA,6,Attchd,Unf,2,672,TA,TA,Y,6,2009,WD,Normal,145000
20,RL,8532,Reg,Inside,NAmes,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,Rec,1213,84,1297,Gd,Y,SBrkr,1297,1297,0,1,0,3,1,TA,5,Attchd,Fin,2,498,TA,TA,Y,10,2009,WD,Normal,153000
20,RL,7922,Reg,Inside,NAmes,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,GLQ,731,326,1057,TA,Y,SBrkr,1057,1057,1,1,0,3,1,Gd,5,Detchd,Unf,1,246,TA,TA,Y,1,2010,WD,Abnorml,109000
20,RL,8658,Reg,Inside,NAmes,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,Rec,643,445,1088,Ex,Y,SBrkr,1324,1324,0,2,0,3,1,TA,6,Attchd,RFn,2,440,TA,TA,Y,12,2006,WD,Abnorml,160000
20,RL,16905,Reg,Inside,Timber,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,BLQ,967,383,1350,Gd,Y,SBrkr,1328,1328,0,1,1,2,1,TA,5,Attchd,RFn,1,308,TA,TA,P,7,2007,WD,Normal,170000
85,RL,9180,IR1,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,ALQ,747,0,840,Gd,Y,SBrkr,884,884,1,1,0,2,1,Gd,5,Attchd,RFn,2,504,TA,Gd,Y,12,2007,WD,Normal,144000
20,RL,9200,IR1,CulDSac,CollgCr,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,LwQ,280,167,938,TA,Y,SBrkr,938,938,1,1,0,3,1,TA,5,Detchd,Unf,1,308,TA,TA,Y,7,2008,WD,Normal,130250
20,RL,7945,Reg,Inside,NAmes,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,ALQ,179,465,1150,Ex,Y,FuseA,1150,1150,1,1,0,3,1,TA,6,Attchd,RFn,1,300,TA,TA,Y,5,2006,WD,Normal,141000
120,RL,7658,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,GLQ,456,1296,1752,Ex,Y,SBrkr,1752,1752,1,2,0,2,1,Ex,6,Attchd,RFn,2,576,TA,TA,Y,2,2010,WD,Normal,319900
50,RL,12822,IR1,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,GLQ,1351,83,1434,Ex,Y,SBrkr,1518,2149,1,1,1,1,1,Gd,6,Attchd,RFn,2,670,TA,TA,Y,8,2009,WD,Abnorml,239686
20,FV,11096,Reg,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,GLQ,24,1632,1656,Ex,Y,SBrkr,1656,1656,0,2,0,3,1,Gd,7,Attchd,RFn,3,826,TA,TA,Y,7,2007,WD,Normal,249700
20,RL,7742,Reg,Inside,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,BLQ,763,192,955,Ex,Y,SBrkr,955,955,1,1,0,3,1,TA,6,Attchd,Unf,1,386,TA,TA,Y,1,2007,WD,Normal,127000
60,RL,13869,IR2,Corner,Gilbert,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,GLQ,182,612,794,Gd,Y,SBrkr,794,1470,0,2,0,3,1,TA,6,Attchd,Fin,2,388,TA,TA,Y,7,2007,WD,Normal,177000
50,RM,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,Unf,0,816,816,TA,Y,SBrkr,816,1176,0,1,0,3,1,TA,6,Detchd,Unf,2,528,TA,TA,Y,9,2006,WD,Normal,114500
90,RM,8472,IR2,Corner,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0,Fa,TA,CBlock,Gd,LwQ,104,0,816,TA,N,SBrkr,816,816,1,1,0,2,1,TA,5,CarPort,Unf,2,516,TA,TA,Y,5,2010,WD,Normal,110000
20,RL,50271,IR1,Inside,Veenker,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,0,Gd,TA,CBlock,Ex,GLQ,1810,32,1842,Gd,Y,SBrkr,1842,1842,2,0,1,0,1,Gd,5,Attchd,Fin,3,894,TA,TA,Y,11,2006,WD,Normal,385000
80,RL,7134,Reg,Inside,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,ALQ,384,0,384,TA,Y,SBrkr,1360,1360,0,1,0,3,1,TA,6,Detchd,Unf,2,572,TA,TA,Y,2,2007,WD,Normal,130000
20,RL,10175,IR1,Inside,NAmes,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272,TA,TA,CBlock,TA,BLQ,490,935,1425,Gd,Y,SBrkr,1425,1425,0,2,0,3,1,TA,7,Attchd,RFn,2,576,TA,TA,Y,7,2008,WD,Normal,180500
160,FV,2645,Reg,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456,Gd,TA,PConc,Gd,GLQ,649,321,970,Ex,Y,SBrkr,983,1739,1,2,1,3,1,Gd,7,Attchd,Fin,2,480,TA,TA,Y,8,2009,WD,Abnorml,172500
60,RL,11645,IR1,Corner,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,Unf,0,860,860,Ex,Y,SBrkr,860,1720,0,2,1,3,1,Gd,7,Attchd,RFn,2,565,TA,TA,Y,8,2006,WD,Normal,196500
60,RL,13682,IR2,CulDSac,StoneBr,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031,Ex,TA,PConc,Ex,Unf,0,1410,1410,Ex,Y,SBrkr,1426,2945,0,3,1,3,1,Gd,10,BuiltIn,Fin,3,641,TA,TA,Y,10,2006,New,Partial,438780
20,RL,7200,Reg,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,ALQ,632,148,780,Ex,Y,SBrkr,780,780,0,1,0,2,1,TA,4,Detchd,Unf,1,352,TA,TA,Y,1,2008,WD,Normal,124900
20,RL,13072,Reg,Inside,SawyerW,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,ALQ,941,217,1158,Ex,Y,SBrkr,1158,1158,1,1,1,3,1,Gd,5,Detchd,Unf,2,576,TA,TA,Y,5,2006,New,Partial,158000
75,RM,7200,Reg,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,Unf,0,530,530,TA,N,SBrkr,581,1111,0,1,0,3,1,Fa,6,Detchd,Unf,1,288,TA,TA,N,3,2007,WD,Normal,101000
120,RL,6442,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,Gd,GLQ,24,1346,1370,Ex,Y,SBrkr,1370,1370,0,2,0,2,1,Gd,6,Attchd,RFn,2,484,TA,TA,Y,10,2007,WD,Normal,202500
70,RM,10300,IR1,Inside,OldTown,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,None,0,TA,TA,BrkTil,TA,Unf,0,576,576,Gd,Y,SBrkr,902,1710,0,2,0,3,1,TA,9,Detchd,Unf,2,480,TA,TA,Y,4,2010,WD,Normal,140000
60,RL,9375,Reg,Inside,CollgCr,1Fam,2Story,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,573,TA,TA,PConc,Gd,GLQ,739,318,1057,Ex,Y,SBrkr,1057,2034,1,2,1,3,1,Gd,8,Attchd,RFn,2,645,TA,TA,Y,2,2009,WD,Normal,219500
60,RL,9591,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,344,Gd,TA,PConc,Ex,Unf,0,1143,1143,Ex,Y,SBrkr,1143,2473,0,2,1,4,1,Gd,9,BuiltIn,RFn,3,852,TA,TA,Y,10,2007,WD,Normal,317000
20,RL,19900,Reg,Inside,NAmes,1Fam,1Story,7,5,1970,1989,Gable,Plywood,Plywood,BrkFace,287,TA,TA,CBlock,Gd,GLQ,912,1035,1947,TA,Y,SBrkr,2207,2207,1,2,0,3,1,TA,7,Attchd,RFn,2,576,TA,TA,Y,7,2010,WD,Normal,180000
20,RL,10665,IR1,Inside,CollgCr,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,167,Gd,TA,PConc,Gd,GLQ,1013,440,1453,Ex,Y,SBrkr,1479,1479,1,2,0,3,1,Gd,7,Attchd,RFn,2,558,TA,TA,Y,6,2007,WD,Normal,226000
30,RM,4608,Reg,Corner,OldTown,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,Unf,0,747,747,TA,Y,SBrkr,747,747,0,1,0,2,1,TA,4,Attchd,Unf,1,220,TA,TA,Y,6,2010,WD,Normal,80000
50,RL,15593,Reg,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Gable,BrkFace,AsbShng,None,0,Gd,TA,CBlock,TA,BLQ,603,701,1304,TA,Y,SBrkr,1304,2287,0,2,0,3,1,TA,7,Attchd,Fin,2,667,TA,TA,Y,7,2006,WD,Normal,225000
20,RL,13651,IR1,Inside,NAmes,1Fam,1Story,7,6,1973,1973,Gable,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,Gd,ALQ,1880,343,2223,Ex,Y,SBrkr,2223,2223,1,2,0,3,1,TA,8,Attchd,Fin,2,516,TA,TA,Y,2,2007,WD,Normal,244000
20,RL,7599,Reg,Corner,Mitchel,1Fam,1Story,4,6,1982,2006,Gable,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,ALQ,565,280,845,TA,Y,SBrkr,845,845,1,1,0,2,1,TA,4,Detchd,Unf,2,360,TA,TA,Y,6,2007,WD,Normal,129500
60,RL,10141,IR1,Corner,Gilbert,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,40,TA,TA,PConc,Gd,Unf,0,832,832,Gd,Y,SBrkr,885,1718,0,2,1,3,1,TA,7,Attchd,Fin,2,427,TA,TA,Y,12,2009,WD,Normal,185000
20,RL,10200,Reg,Inside,NAmes,1Fam,1Story,5,7,1954,2003,Gable,Wd Sdng,Wd Sdng,BrkFace,104,TA,TA,CBlock,TA,ALQ,320,404,1086,Gd,Y,SBrkr,1086,1086,1,1,0,3,1,TA,6,Attchd,Unf,2,490,TA,TA,Y,5,2010,WD,Normal,144900
50,RM,5790,Reg,Corner,OldTown,1Fam,2Story,3,6,1915,1950,Gambrel,VinylSd,VinylSd,None,0,Gd,Gd,CBlock,Fa,Unf,0,840,840,Gd,N,SBrkr,840,1605,0,2,0,3,2,TA,8,Detchd,Unf,1,379,TA,TA,Y,5,2010,WD,Normal,107400
180,RM,1596,Reg,Inside,MeadowV,Twnhs,SLvl,4,5,1973,1973,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,GLQ,462,0,462,TA,Y,SBrkr,526,988,1,1,0,2,1,TA,5,BuiltIn,Unf,1,297,TA,TA,Y,11,2009,WD,Normal,91000
20,RL,8475,IR1,Inside,NAmes,1Fam,1Story,4,7,1956,1956,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,ALQ,228,724,952,Ex,Y,FuseA,952,952,0,1,0,2,1,TA,4,Detchd,Unf,1,283,TA,TA,Y,4,2008,WD,Normal,135750
50,RM,8635,Reg,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,BLQ,336,295,672,TA,Y,SBrkr,1072,1285,1,1,0,2,1,TA,6,Detchd,Unf,1,240,TA,TA,Y,1,2008,WD,Normal,127000
50,RM,10440,Reg,Corner,OldTown,1Fam,2Story,5,6,1910,1981,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,Unf,0,440,440,Gd,Y,SBrkr,682,1230,0,1,1,2,1,TA,5,Detchd,Unf,2,440,TA,TA,Y,5,2009,WD,Normal,110000
60,RL,13000,Reg,Corner,NAmes,1Fam,2Story,6,6,1968,1968,Gable,VinylSd,VinylSd,BrkFace,576,TA,Gd,CBlock,Gd,Rec,448,448,896,TA,Y,SBrkr,1182,2142,0,2,1,4,1,Gd,8,Attchd,Fin,1,509,TA,TA,Y,6,2009,WD,Normal,193500
120,RM,4500,Reg,FR2,Mitchel,TwnhsE,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,443,TA,Gd,PConc,Ex,GLQ,1201,36,1237,Ex,Y,SBrkr,1337,1337,1,2,0,2,1,TA,5,Attchd,Fin,2,405,TA,TA,Y,3,2006,WD,Normal,153500
20,RL,10206,Reg,Inside,Somerst,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,468,TA,TA,PConc,Gd,GLQ,33,1530,1563,Ex,Y,SBrkr,1563,1563,0,2,0,3,1,Gd,6,Attchd,RFn,3,758,TA,TA,Y,10,2008,WD,Normal,245000
20,RL,8892,IR1,Inside,NAmes,1Fam,1Story,5,5,1960,1960,Gable,MetalSd,MetalSd,BrkCmn,66,TA,TA,CBlock,TA,Unf,0,1065,1065,Gd,Y,SBrkr,1065,1065,0,1,1,3,1,TA,6,Detchd,Unf,2,461,TA,TA,Y,7,2007,COD,Normal,126500
80,RL,8530,IR1,Inside,Gilbert,1Fam,SLvl,7,5,1995,1996,Gable,HdBoard,HdBoard,BrkFace,22,TA,TA,PConc,Gd,Unf,0,384,384,Gd,Y,SBrkr,804,1474,0,2,1,3,1,TA,7,BuiltIn,Fin,2,400,TA,TA,Y,5,2009,WD,Normal,168500
60,RL,16059,Reg,Corner,NoRidge,1Fam,2Story,8,5,1991,1992,Hip,HdBoard,HdBoard,BrkFace,284,Gd,TA,CBlock,Gd,Unf,0,1288,1288,Ex,Y,SBrkr,1301,2417,0,2,1,4,1,Gd,9,Attchd,Unf,2,462,TA,TA,Y,4,2006,WD,Normal,260000
