MSSubClass,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,SalePrice
20,RL,10603,IR1,Inside,NWAmes,1Fam,1Story,6,7,205000
60,RL,9206,Reg,Inside,SawyerW,1Fam,2Story,6,5,178000
20,RL,10402,IR1,Corner,CollgCr,1Fam,1Story,7,5,198900
50,RM,7758,Reg,Corner,IDOTRR,1Fam,1.5Fin,7,4,169500
60,FV,9375,Reg,Inside,Somerst,1Fam,2Story,8,5,250000
30,RM,10800,Reg,Inside,OldTown,1Fam,1Story,4,7,100000
20,RM,6000,Reg,Inside,OldTown,1Fam,1Story,5,5,115000
20,RL,11751,IR1,Inside,NWAmes,1Fam,1Story,6,6,190000
50,RL,9525,Reg,Inside,Edwards,1Fam,1.5Fin,6,4,136900
80,RL,7750,IR1,Inside,Gilbert,1Fam,SLvl,7,5,180000
60,RL,9965,Reg,Inside,CollgCr,1Fam,2Story,7,5,383970
20,RL,21000,Reg,Corner,Crawfor,1Fam,1Story,6,5,217000
70,RL,7259,IR1,Inside,Crawfor,1Fam,2Story,6,8,259500
160,FV,3230,Reg,Corner,Somerst,TwnhsE,2Story,6,5,176000
20,RL,11616,Reg,Inside,Sawyer,1Fam,1Story,5,5,139000
20,RL,8536,Reg,Corner,Edwards,1Fam,1Story,5,5,155000
60,RL,12376,Reg,Corner,SawyerW,1Fam,2Story,7,5,320000
60,RL,8461,Reg,Inside,CollgCr,1Fam,2Story,6,5,163990
80,RL,21453,IR1,CulDSac,ClearCr,1Fam,SLvl,6,5,180000
50,RM,6060,Reg,Inside,IDOTRR,1Fam,1.5Fin,4,5,100000
20,RL,9464,Reg,Corner,NAmes,1Fam,1Story,6,7,136000
120,RL,7892,Reg,Inside,SawyerW,TwnhsE,1Story,6,5,153900
20,RL,17043,IR1,CulDSac,NWAmes,1Fam,1Story,6,5,181000
120,RL,4928,IR1,Inside,NPkVill,TwnhsE,1Story,6,5,128000
60,RL,7590,Reg,Inside,NAmes,1Fam,2Story,6,5,155000
20,RL,8973,Reg,Inside,NAmes,1Fam,1Story,5,7,150000
60,RL,14200,Reg,Corner,NAmes,1Fam,2Story,7,6,226000
60,RL,12224,IR1,Corner,Gilbert,1Fam,2Story,6,5,244000
20,RL,7388,Reg,Corner,NAmes,1Fam,1Story,5,6,150750
20,RL,6853,IR1,Inside,Timber,1Fam,1Story,8,5,220000
20,RL,10335,IR1,Inside,Sawyer,1Fam,1Story,5,6,180000
20,RL,10400,Reg,Inside,NWAmes,1Fam,1Story,7,6,174000
20,RL,10355,IR1,Corner,NAmes,1Fam,1Story,5,5,143000
90,RL,11070,Reg,Inside,Mitchel,Duplex,1Story,7,5,171000
60,RL,9066,IR1,Inside,CollgCr,1Fam,2Story,8,5,230000
60,RL,15426,IR1,Inside,CollgCr,1Fam,2Story,6,5,231500
20,RL,11645,Reg,Inside,CollgCr,1Fam,1Story,7,5,260000
50,RL,8520,Reg,Corner,NAmes,1Fam,1.5Fin,5,4,166000
20,RL,10335,IR1,Inside,CollgCr,1Fam,1Story,7,5,204000
90,RM,9100,Reg,Inside,Sawyer,Duplex,1Story,5,5,125000
160,RM,2522,Reg,Inside,Edwards,Twnhs,2Story,6,5,130000
30,RM,6120,Reg,Corner,BrkSide,1Fam,1Story,5,7,105000
60,RL,9505,IR1,CulDSac,Gilbert,1Fam,2Story,7,5,222500
50,RM,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,5,4,115000
20,RL,10356,Reg,Corner,CollgCr,1Fam,1Story,5,6,122000
20,RL,13891,Reg,Inside,NridgHt,1Fam,1Story,8,5,372402
60,RL,14803,IR1,CulDSac,NWAmes,1Fam,2Story,6,5,190000
20,RL,13500,Reg,Inside,ClearCr,1Fam,1Story,6,7,235000
30,RM,11340,Reg,Corner,OldTown,1Fam,1Story,6,5,125000
60,RL,12003,Reg,Corner,Timber,1Fam,2Story,8,5,269500
60,FV,12552,Reg,Corner,Somerst,1Fam,2Story,7,5,254900
60,RL,19378,IR1,Corner,Gilbert,1Fam,2Story,7,5,320000
20,RL,11120,IR1,CulDSac,Veenker,1Fam,1Story,6,6,162500
60,RL,13688,IR1,Inside,NridgHt,1Fam,2Story,9,5,412500
20,RL,12182,Reg,Corner,NridgHt,1Fam,1Story,7,5,220000
40,RM,5400,Reg,Corner,OldTown,1Fam,1Story,6,7,152000
20,RL,10708,IR1,Inside,ClearCr,1Fam,1Story,5,5,190000
60,RL,10562,Reg,Inside,NridgHt,1Fam,2Story,8,5,325624
60,RL,8244,IR1,Inside,Gilbert,1Fam,2Story,7,5,183500
20,RL,16669,IR1,Corner,Timber,1Fam,1Story,8,6,228000
50,RM,12358,IR1,Inside,OldTown,1Fam,1.5Fin,5,6,128500
20,RL,31770,IR1,Corner,NAmes,1Fam,1Story,6,5,215000
160,RL,5306,IR1,Inside,StoneBr,TwnhsE,2Story,7,7,239000
20,RL,10197,IR1,Inside,NAmes,1Fam,1Story,6,5,163000
20,RL,12416,IR1,Inside,Timber,1Fam,1Story,6,5,184000
20,RL,12615,Reg,Corner,Edwards,1Fam,1Story,6,7,243000
60,RL,10029,IR1,Corner,ClearCr,1Fam,2Story,6,5,211000
50,RL,13650,Reg,Inside,Sawyer,1Fam,1.5Fin,5,5,172500
20,RL,17423,IR1,CulDSac,StoneBr,1Fam,1Story,9,5,501837
30,RM,8520,Reg,Inside,OldTown,1Fam,1Story,5,6,100000
160,FV,2117,Reg,Inside,Somerst,Twnhs,2Story,6,5,177000
70,RL,7588,Reg,Inside,Crawfor,1Fam,2Story,7,6,200100
50,RM,11426,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,200000
50,RL,7438,IR1,Inside,BrkSide,1Fam,1.5Fin,5,8,127000
75,RM,22950,IR2,Inside,OldTown,1Fam,2.5Fin,10,9,475000
80,RL,9947,IR1,CulDSac,Mitchel,1Fam,SLvl,7,5,173000
50,RL,10410,Reg,Inside,OldTown,1Fam,1.5Fin,5,7,135000
90,RL,7018,Reg,Inside,SawyerW,Duplex,SFoyer,5,5,153337
120,RL,4923,Reg,Inside,StoneBr,TwnhsE,1Story,8,5,286000
70,RL,10570,Reg,Inside,Crawfor,1Fam,2Story,8,8,315000
60,RL,7472,IR1,CulDSac,NAmes,1Fam,2Story,7,9,184000
20,RL,9017,IR1,Inside,CollgCr,1Fam,1Story,7,5,192000
160,RM,2522,Reg,Inside,Edwards,Twnhs,2Story,7,5,130000
20,RL,7180,IR1,Inside,CollgCr,1Fam,1Story,5,7,127000
160,RL,2280,Reg,FR2,NPkVill,Twnhs,2Story,6,6,148500
20,RL,9416,Reg,Inside,Somerst,1Fam,1Story,7,5,311872
75,RL,25419,Reg,Corner,NAmes,1Fam,2Story,8,4,235000
20,RL,9591,Reg,Inside,NridgHt,1Fam,1Story,8,5,274900
20,RM,8546,Reg,Corner,Edwards,1Fam,1Story,4,5,140000
20,RL,10125,Reg,Inside,Mitchel,1Fam,1Story,6,6,171500
50,RL,7000,Reg,Corner,OldTown,1Fam,1.5Fin,6,6,112000
120,RM,4438,Reg,Inside,CollgCr,TwnhsE,1Story,6,5,149000
50,RM,3500,Reg,Inside,OldTown,1Fam,1.5Fin,5,7,110000
20,RL,11851,Reg,Corner,Gilbert,1Fam,1Story,7,5,180500
20,RL,13673,IR1,CulDSac,Sawyer,1Fam,1Story,5,5,143900
20,RL,12493,IR1,Inside,NAmes,1Fam,1Story,4,5,141000
60,RL,14364,IR1,Inside,SawyerW,1Fam,2Story,7,5,277000
20,RL,8250,Reg,Inside,NAmes,1Fam,1Story,6,7,145000
20,RL,10420,Reg,Corner,Edwards,1Fam,1Story,6,5,186000
60,FV,8640,Reg,Inside,Somerst,1Fam,2Story,7,5,252678
20,RL,13568,IR2,CulDSac,CollgCr,1Fam,1Story,5,5,156000
60,RL,10900,IR1,FR2,CollgCr,1Fam,2Story,6,7,161750
20,RL,10011,IR1,Inside,NAmes,1Fam,1Story,5,6,134450
20,RL,8450,Reg,Inside,CollgCr,1Fam,1Story,7,5,210000
70,RM,9906,Reg,Inside,OldTown,1Fam,2Story,4,4,107000
50,RL,15660,IR1,Corner,Crawfor,1Fam,1.5Fin,7,9,311500
120,RL,3010,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,167240
20,RL,8990,IR1,Inside,CollgCr,1Fam,1Story,7,5,204900
60,RL,8068,IR1,Inside,Gilbert,1Fam,2Story,6,5,200000
60,RL,11475,Reg,Inside,NWAmes,1Fam,2Story,6,6,179900
20,RL,10500,Reg,FR2,NAmes,1Fam,1Story,4,6,97000
20,RL,13472,Reg,Inside,NridgHt,1Fam,1Story,10,5,386250
160,RM,1680,Reg,Inside,BrDale,Twnhs,2Story,5,5,112000
60,RL,9950,IR1,Inside,NoRidge,1Fam,2Story,7,5,290000
160,RM,1869,Reg,Inside,BrDale,Twnhs,2Story,6,6,106000
20,RL,8521,Reg,FR2,Sawyer,1Fam,1Story,5,5,125000
120,RL,3182,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,192500
20,RL,8760,Reg,Inside,NAmes,1Fam,1Story,6,6,148000
60,RL,15138,IR1,Inside,NoRidge,1Fam,2Story,8,5,403000
160,RM,1680,Reg,Inside,BrDale,Twnhs,2Story,6,5,94500
20,RL,10650,Reg,Corner,CollgCr,1Fam,1Story,5,6,128200
160,RM,1680,Reg,Inside,BrDale,TwnhsE,2Story,6,3,89500
20,RL,8773,Reg,FR2,CollgCr,1Fam,1Story,7,5,185500
60,RL,9453,IR1,CulDSac,SawyerW,1Fam,2Story,7,7,194500
20,RL,12030,Reg,Inside,NridgHt,1Fam,1Story,8,5,318000
50,RL,8741,Reg,Inside,Edwards,1Fam,1.5Fin,6,4,113000
20,FV,9000,Reg,Inside,Somerst,1Fam,1Story,8,5,262500
50,RM,5000,Reg,Corner,OldTown,1Fam,1.5Fin,5,4,79000
160,RL,10762,Reg,Corner,SawyerW,TwnhsE,2Story,6,6,120000
60,RL,8880,IR1,Inside,SawyerW,1Fam,2Story,7,5,205000
20,RL,10400,Reg,Inside,NWAmes,1Fam,1Story,7,5,241500
190,RM,9142,Reg,Inside,OldTown,2fmCon,2Story,6,8,137000
20,RL,11310,Reg,Inside,NAmes,1Fam,1Story,6,5,140000
60,RL,11317,Reg,Inside,CollgCr,1Fam,2Story,7,5,180000
50,RL,159000,IR2,CulDSac,ClearCr,1Fam,1.5Fin,6,7,277000
120,RM,4750,IR1,Inside,Crawfor,TwnhsE,1Story,8,5,235000
60,RL,8366,IR1,Inside,SawyerW,1Fam,2Story,6,5,173000
80,RL,9350,Reg,Inside,NAmes,1Fam,SLvl,6,7,158000
20,RL,8400,Reg,Inside,NAmes,1Fam,1Story,5,6,145000
60,RL,8738,IR1,Inside,Gilbert,1Fam,2Story,7,5,230000
60,FV,8791,IR1,Inside,Somerst,1Fam,2Story,6,5,207500
20,RL,8814,Reg,Inside,CollgCr,1Fam,1Story,7,5,220000
60,RL,12435,Reg,Inside,CollgCr,1Fam,2Story,7,5,231500
80,RL,19296,Reg,Corner,NAmes,1Fam,SLvl,6,5,176000
60,RL,9588,IR1,Inside,CollgCr,1Fam,2Story,8,5,276000
80,RL,8471,IR1,Corner,Sawyer,1Fam,SLvl,6,7,151000
50,RM,5500,Reg,Corner,OldTown,1Fam,1.5Fin,5,7,130000
30,RM,5232,IR3,Inside,OldTown,1Fam,1Story,5,5,73000
20,RL,12090,IR1,Inside,NWAmes,1Fam,1Story,6,6,175500
60,RL,11207,IR1,FR2,Gilbert,1Fam,2Story,6,5,185000
75,RL,8400,Reg,Inside,SWISU,1Fam,2.5Fin,5,8,179500
30,RM,6900,Reg,Inside,IDOTRR,1Fam,1Story,5,6,120500
20,RL,7917,IR1,Corner,Edwards,1Fam,1Story,6,7,148000
60,FV,10728,Reg,Inside,Somerst,1Fam,2Story,8,5,266000
20,RL,39104,IR1,CulDSac,ClearCr,1Fam,1Story,7,7,241500
60,RL,11764,IR1,CulDSac,NoRidge,1Fam,2Story,8,7,290000
20,RL,9600,Reg,Inside,NAmes,1Fam,1Story,6,6,139000
20,RL,8314,Reg,Corner,Mitchel,1Fam,1Story,5,7,124500
50,RL,7264,Reg,Inside,BrkSide,1Fam,1.5Fin,7,7,205000
20,RL,9196,IR1,Inside,Mitchel,1Fam,1Story,7,5,201000
20,RL,19138,Reg,Corner,Gilbert,1Fam,1Story,4,5,141000
20,RL,14450,Reg,Inside,NridgHt,1Fam,1Story,9,5,415298
60,RL,10005,Reg,Inside,ClearCr,1Fam,2Story,7,5,192000
60,RL,11287,Reg,Inside,SawyerW,1Fam,2Story,7,6,228500
20,FV,7200,Reg,Inside,Somerst,1Fam,1Story,6,5,185000
120,RL,5063,Reg,Inside,NridgHt,Twnhs,1Story,7,5,207500
20,RL,9612,Reg,Inside,Somerst,1Fam,1Story,8,5,244600
120,RL,8012,Reg,Inside,SawyerW,TwnhsE,1Story,6,5,179200
160,FV,4251,IR1,Inside,Somerst,TwnhsE,2Story,7,5,164700
50,RL,9786,IR1,Inside,NAmes,1Fam,1.5Fin,6,7,159000
20,RL,9819,IR1,Inside,Sawyer,1Fam,1Story,5,5,122000
70,RL,8730,Reg,Inside,BrkSide,1Fam,2Story,6,7,153575
60,RL,15611,Reg,Inside,CollgCr,1Fam,2Story,8,5,233230
50,RL,11409,Reg,Inside,Edwards,1Fam,1.5Fin,5,4,131000
60,RL,16659,IR1,Corner,NWAmes,1Fam,2Story,7,7,235000
20,RL,9600,Reg,Inside,NAmes,1Fam,1Story,6,5,167000
80,RL,7937,IR1,CulDSac,Mitchel,1Fam,SLvl,6,6,142500
50,RM,13710,Reg,Inside,IDOTRR,1Fam,1.5Fin,5,5,152000
60,FV,7399,IR1,Inside,Somerst,1Fam,2Story,7,5,239000
60,RL,11700,Reg,Inside,NWAmes,1Fam,2Story,6,6,175000
20,RL,14000,Reg,Inside,Crawfor,1Fam,1Story,6,8,158500
190,RL,15750,Reg,Corner,Crawfor,2fmCon,1Story,5,5,157000
60,RL,16226,IR3,Inside,CollgCr,1Fam,2Story,8,5,267000
20,RL,13704,IR1,Corner,CollgCr,1Fam,1Story,7,5,205000
20,RL,9800,Reg,Corner,CollgCr,1Fam,1Story,5,7,149900
75,RM,18386,Reg,Inside,OldTown,1Fam,2.5Fin,7,9,295000
20,RL,10386,Reg,Inside,CollgCr,1Fam,1Story,8,5,305900
60,RL,13474,Reg,Inside,SawyerW,1Fam,2Story,7,5,225000
30,RL,12342,IR1,Inside,Edwards,1Fam,1Story,4,5,82500
20,RL,12378,IR1,Inside,NridgHt,1Fam,1Story,9,5,360000
60,RL,7685,IR1,Inside,Gilbert,1Fam,2Story,6,5,165600
20,RL,8000,Reg,Inside,NAmes,1Fam,1Story,6,6,132000
190,RM,7800,Reg,Inside,OldTown,2fmCon,1.5Fin,5,7,119900
20,RL,215245,IR3,Inside,Timber,1Fam,1Story,7,5,375000
70,RM,9600,Reg,Inside,OldTown,1Fam,2Story,7,7,178000
60,RL,7795,IR1,Inside,Gilbert,1Fam,2Story,7,5,188500
60,RL,13005,IR1,Corner,NWAmes,1Fam,2Story,7,7,260000
60,FV,9000,Reg,Inside,Somerst,1Fam,2Story,8,5,270000
60,RL,9900,Reg,Inside,NoRidge,1Fam,2Story,7,5,260000
80,RL,14115,Reg,Inside,NWAmes,1Fam,SLvl,7,5,187500
60,RL,16259,Reg,Corner,NridgHt,1Fam,2Story,9,5,342643
60,RL,12099,IR1,Inside,NridgHt,1Fam,2Story,8,5,354000
60,RL,10380,IR1,Inside,SawyerW,1Fam,2Story,7,5,301000
20,RM,5820,Reg,Inside,OldTown,1Fam,1Story,3,8,126175
80,RL,11275,Reg,Corner,NAmes,1Fam,SLvl,7,7,242000
45,RM,5000,Reg,Inside,IDOTRR,1Fam,1.5Unf,5,6,87000
120,RL,10846,IR1,CulDSac,Veenker,TwnhsE,1Story,8,5,324000
20,RL,11600,Reg,Inside,NAmes,1Fam,1Story,6,5,145250
75,RL,11888,IR1,Inside,BrkSide,1Fam,2.5Unf,6,6,214500
70,RM,6402,Reg,Corner,IDOTRR,1Fam,2Story,5,5,78000
90,RL,10624,IR1,Inside,NAmes,Duplex,1Story,5,4,119000
20,RL,8176,Reg,Inside,NAmes,1Fam,1Story,5,6,139000
120,RM,8198,Reg,FR3,NridgHt,TwnhsE,1Story,7,5,207000
60,RL,9042,IR1,Inside,Gilbert,1Fam,2Story,6,5,192000
190,RL,164660,IR1,Corner,Timber,2fmCon,1.5Fin,5,6,228950
20,RL,14157,IR1,Corner,StoneBr,1Fam,1Story,9,5,377426
20,RL,9135,Reg,Inside,CollgCr,1Fam,1Story,7,5,214000
20,RL,14145,Reg,Corner,NWAmes,1Fam,1Story,7,7,202500
20,RL,12400,IR1,Inside,NAmes,1Fam,1Story,6,7,155000
60,RL,14191,Reg,Inside,Timber,1Fam,2Story,8,5,202900
20,RH,8400,Reg,Inside,SawyerW,1Fam,1Story,4,4,82000
120,RL,8849,IR1,Inside,NridgHt,TwnhsE,1Story,9,5,266000
160,RM,2592,Reg,Inside,MeadowV,TwnhsE,2Story,5,3,85000
50,RL,6435,Reg,Inside,BrkSide,1Fam,1.5Fin,6,5,140200
20,RL,12772,IR1,CulDSac,NAmes,1Fam,1Story,6,8,151500
20,RL,17600,IR1,Inside,NAmes,1Fam,1Story,6,5,157500
160,RL,2448,Reg,Inside,NridgHt,Twnhs,2Story,7,5,154000
60,RL,20431,IR2,Inside,NridgHt,1Fam,2Story,9,5,437154
120,RL,7820,IR1,Inside,NridgHt,TwnhsE,1Story,9,5,318061
120,RL,5271,IR1,Inside,ClearCr,1Fam,1Story,7,5,190000
50,RL,9084,Reg,Inside,Edwards,1Fam,1.5Fin,5,6,95000
30,RM,8520,Reg,Inside,OldTown,1Fam,1Story,6,8,105900
50,RL,8400,Reg,Inside,SWISU,1Fam,1.5Fin,6,5,140000
20,RL,11249,IR2,Inside,CollgCr,1Fam,1Story,6,5,177500
20,RL,9248,IR1,Inside,Gilbert,1Fam,1Story,6,6,173000
120,RM,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,5,134000
80,RL,6930,IR1,Inside,ClearCr,1Fam,SLvl,5,4,130000
60,RL,12011,IR1,CulDSac,NoRidge,1Fam,2Story,8,5,280000
85,RL,7540,IR1,CulDSac,Mitchel,1Fam,SFoyer,6,6,156000
50,RL,9144,Reg,Inside,BrkSide,1Fam,1.5Fin,5,5,145000
160,RM,1680,Reg,Inside,BrDale,Twnhs,2Story,6,8,118000
60,RL,18800,IR1,FR2,NWAmes,1Fam,2Story,6,5,190000
70,RM,10690,Reg,Inside,IDOTRR,1Fam,2Story,5,7,147000
20,RL,9500,IR1,Inside,NAmes,1Fam,1Story,6,5,159000
80,RL,9150,IR1,Corner,NAmes,1Fam,SLvl,6,5,165000
20,RL,7800,Reg,Inside,NAmes,1Fam,1Story,5,6,132000
20,RL,9830,IR1,Corner,NAmes,1Fam,1Story,5,7,162000
60,RL,8121,IR1,Inside,Gilbert,1Fam,2Story,6,5,172400
120,RL,7175,Reg,Inside,SawyerW,TwnhsE,1Story,6,5,125000
20,RL,10634,Reg,Inside,NAmes,1Fam,1Story,5,6,123000
60,RL,8200,Reg,Inside,CollgCr,1Fam,2Story,7,5,219500
85,RL,8846,IR1,CulDSac,CollgCr,1Fam,SFoyer,5,5,148000
60,FV,11143,IR1,Corner,Somerst,1Fam,2Story,8,5,340000
20,RL,11394,Reg,Corner,StoneBr,1Fam,1Story,9,2,394432
60,RL,8123,IR1,Inside,Gilbert,1Fam,2Story,6,5,179000
50,RL,5000,Reg,Inside,SWISU,1Fam,1.5Fin,5,6,127000
20,FV,7200,Reg,Inside,Somerst,1Fam,1Story,7,5,187750
60,RL,9245,IR1,Inside,CollgCr,1Fam,2Story,7,5,213500
45,RH,9000,Reg,Corner,SawyerW,1Fam,1.5Unf,6,3,76000
60,RL,53107,IR2,Corner,ClearCr,1Fam,2Story,6,5,240000
120,RL,3182,Reg,Inside,Blmngtn,TwnhsE,1Story,8,5,192000
80,RL,7200,Reg,Inside,Edwards,1Fam,SLvl,6,6,125000
20,RL,9382,IR1,CulDSac,CollgCr,1Fam,1Story,7,5,191000
60,RL,12474,Reg,Inside,NridgHt,1Fam,2Story,10,5,426000
50,RL,8405,Reg,Inside,Edwards,1Fam,1.5Fin,5,8,119000
60,RL,12209,IR1,CulDSac,Mitchel,1Fam,2Story,6,5,215000
50,RL,10134,Reg,Inside,OldTown,1Fam,1.5Fin,5,6,109000
20,RL,9571,Reg,Inside,Edwards,1Fam,1Story,5,6,129000
