YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,SalePrice
2005,2005,Hip,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,319900
2003,2003,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,239686
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,249700
1966,1966,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,127000
1997,1997,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,177000
1934,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,114500
1963,1963,Gable,Wd Sdng,Wd Sdng,None,0,Fa,TA,CBlock,110000
1981,1987,Gable,WdShing,Wd Shng,None,0,Gd,TA,CBlock,385000
1955,1955,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,130000
1964,1964,Gable,HdBoard,Plywood,BrkFace,272,TA,TA,CBlock,180500
1999,2000,Gable,MetalSd,MetalSd,BrkFace,456,Gd,TA,PConc,172500
2004,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,196500
2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031,Ex,TA,PConc,438780
1972,1972,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,124900
2004,2004,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,158000
1920,1996,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,101000
2006,2006,Gable,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,202500
1921,1950,Gable,Stucco,Stucco,None,0,TA,TA,BrkTil,140000
1997,1998,Gable,VinylSd,VinylSd,BrkFace,573,TA,TA,PConc,219500
2004,2005,Gable,VinylSd,VinylSd,BrkFace,344,Gd,TA,PConc,317000
1970,1989,Gable,Plywood,Plywood,BrkFace,287,TA,TA,CBlock,180000
2003,2003,Gable,VinylSd,VinylSd,BrkFace,167,Gd,TA,PConc,226000
1945,1950,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,80000
1953,1953,Gable,BrkFace,AsbShng,None,0,Gd,TA,CBlock,225000
1973,1973,Gable,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,244000
1982,2006,Gable,HdBoard,Plywood,None,0,TA,TA,CBlock,129500
1998,1998,Gable,VinylSd,VinylSd,BrkFace,40,TA,TA,PConc,185000
1954,2003,Gable,Wd Sdng,Wd Sdng,BrkFace,104,TA,TA,CBlock,144900
1915,1950,Gambrel,VinylSd,VinylSd,None,0,Gd,Gd,CBlock,107400
1973,1973,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,91000
1956,1956,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,135750
1948,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,127000
1910,1981,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,110000
1968,1968,Gable,VinylSd,VinylSd,BrkFace,576,TA,Gd,CBlock,193500
1998,1998,Hip,VinylSd,VinylSd,BrkFace,443,TA,Gd,PConc,153500
2007,2007,Gable,VinylSd,VinylSd,Stone,468,TA,TA,PConc,245000
1960,1960,Gable,MetalSd,MetalSd,BrkCmn,66,TA,TA,CBlock,126500
1995,1996,Gable,HdBoard,HdBoard,BrkFace,22,TA,TA,PConc,168500
1991,1992,Hip,HdBoard,HdBoard,BrkFace,284,Gd,TA,CBlock,260000
2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,174000
2009,2009,Gable,VinylSd,VinylSd,Stone,76,Gd,TA,PConc,164500
1961,1961,Hip,HdBoard,HdBoard,BrkCmn,203,TA,TA,CBlock,98600
1921,2006,Gable,Wd Sdng,Wd Sdng,None,0,TA,Gd,BrkTil,163500
1910,1998,Hip,MetalSd,MetalSd,None,0,TA,TA,BrkTil,133900
1997,1997,Gable,VinylSd,VinylSd,None,0,TA,Gd,PConc,204750
1993,1993,Gable,VinylSd,VinylSd,BrkFace,68,Ex,Gd,PConc,185000
1999,1999,Gable,VinylSd,VinylSd,BrkFace,183,Gd,TA,PConc,214000
1965,1965,Hip,HdBoard,HdBoard,BrkFace,48,TA,TA,CBlock,94750
1920,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,83000
1977,2001,Gable,Plywood,Plywood,BrkFace,28,TA,TA,PConc,205000
1985,1985,Gable,HdBoard,HdBoard,BrkFace,336,Gd,TA,CBlock,178000
2009,2009,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,198900
1931,1950,Gable,Stucco,Stucco,BrkFace,600,TA,Fa,PConc,169500
2003,2004,Hip,VinylSd,VinylSd,BrkFace,768,Gd,TA,PConc,250000
1885,1995,Mansard,VinylSd,VinylSd,None,0,TA,TA,BrkTil,100000
1948,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,115000
1977,1977,Hip,Plywood,Plywood,BrkFace,480,TA,TA,CBlock,190000
1954,1972,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,136900
2000,2000,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,180000
2007,2007,Gable,VinylSd,VinylSd,Stone,220,Gd,TA,PConc,383970
1953,1953,Hip,Wd Sdng,Wd Sdng,BrkFace,184,TA,Gd,CBlock,217000
1945,2002,Gambrel,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,259500
1999,1999,Gable,MetalSd,MetalSd,BrkFace,1129,TA,TA,PConc,176000
1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,116,TA,TA,CBlock,139000
2006,2007,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,155000
1990,1990,Hip,Plywood,Plywood,None,0,TA,TA,PConc,320000
2005,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,163990
1969,1969,Flat,Plywood,Plywood,None,0,TA,TA,CBlock,180000
1939,1950,Gable,AsbShng,AsbShng,None,0,TA,TA,PConc,100000
1958,1958,Hip,MetalSd,MetalSd,BrkFace,135,TA,Gd,CBlock,136000
1993,1993,Gable,Plywood,Plywood,None,0,Gd,TA,PConc,153900
1979,1998,Gable,HdBoard,HdBoard,None,0,TA,Gd,CBlock,181000
1976,1976,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,128000
1966,1966,Gable,VinylSd,VinylSd,BrkFace,266,TA,TA,CBlock,155000
1958,1991,Gable,Plywood,Plywood,BrkFace,85,TA,TA,CBlock,150000
1966,1966,Gable,MetalSd,MetalSd,BrkFace,309,TA,TA,CBlock,226000
2000,2000,Gable,VinylSd,VinylSd,BrkFace,40,Gd,TA,PConc,244000
1959,2002,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,150750
2001,2002,Gable,VinylSd,VinylSd,BrkFace,136,Gd,TA,PConc,220000
1968,1993,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,180000
1970,1970,Hip,Plywood,Plywood,BrkFace,288,TA,TA,PConc,174000
1967,1967,Gable,MetalSd,MetalSd,BrkFace,196,TA,TA,CBlock,143000
1988,1989,Gable,VinylSd,VinylSd,BrkFace,70,TA,TA,CBlock,171000
1999,2000,Gable,VinylSd,VinylSd,BrkFace,320,Gd,TA,PConc,230000
1997,1997,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,231500
2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,260000
1952,1952,Gable,BrkFace,Wd Sdng,None,0,TA,Fa,CBlock,166000
1999,1999,Gable,VinylSd,VinylSd,BrkFace,183,Gd,TA,PConc,204000
1963,1963,Gable,HdBoard,HdBoard,BrkFace,336,TA,TA,CBlock,125000
2004,2006,Gable,VinylSd,VinylSd,Stone,50,Gd,TA,PConc,130000
1931,1993,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,105000
2001,2001,Gable,VinylSd,VinylSd,BrkFace,180,Gd,TA,PConc,222500
1936,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,115000
1975,1975,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,122000
2007,2008,Hip,VinylSd,VinylSd,Stone,436,Gd,TA,PConc,372402
1971,1971,Gable,HdBoard,HdBoard,BrkFace,252,TA,TA,CBlock,190000
1960,1975,Flat,BrkFace,Plywood,None,0,TA,TA,CBlock,235000
1923,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,125000
2009,2010,Gable,VinylSd,VinylSd,BrkFace,84,Gd,TA,PConc,269500
2004,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,254900
2005,2006,Gable,VinylSd,VinylSd,BrkFace,456,Gd,TA,PConc,320000
1984,1984,Gable,Plywood,Plywood,None,0,TA,TA,PConc,162500
2003,2004,Gable,VinylSd,VinylSd,BrkFace,664,Gd,TA,PConc,412500
2005,2005,Gable,VinylSd,VinylSd,BrkFace,226,Gd,TA,PConc,220000
1926,2004,Gable,MetalSd,MetalSd,None,0,TA,Gd,BrkTil,152000
1955,1993,Hip,Wd Sdng,Wd Sdng,None,0,Gd,TA,CBlock,190000
2007,2007,Gable,VinylSd,VinylSd,Stone,300,Gd,TA,PConc,325624
2004,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,183500
1981,1981,Hip,Plywood,Plywood,BrkFace,653,Gd,TA,CBlock,228000
1941,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,128500
1960,1960,Hip,BrkFace,Plywood,Stone,112,TA,TA,CBlock,215000
1987,1987,Gable,HdBoard,HdBoard,None,0,Gd,Gd,PConc,239000
1961,1961,Gable,WdShing,Wd Shng,BrkCmn,491,TA,TA,CBlock,163000
1986,1986,Gable,VinylSd,Plywood,Stone,132,TA,TA,CBlock,184000
1950,2001,Gable,WdShing,Wd Shng,None,0,TA,TA,CBlock,243000
1988,1989,Gable,Plywood,Plywood,BrkFace,268,Gd,TA,PConc,211000
1958,1958,Gable,MetalSd,MetalSd,None,0,Gd,Gd,CBlock,172500
2008,2009,Hip,VinylSd,VinylSd,Stone,748,Ex,TA,PConc,501837
1923,2006,Gable,Wd Sdng,Wd Sdng,None,0,Gd,TA,CBlock,100000
2000,2000,Gable,MetalSd,MetalSd,BrkFace,456,Gd,TA,PConc,177000
1920,1950,Gable,Stucco,Stucco,None,0,TA,TA,BrkTil,200100
2003,2003,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,200000
1908,1991,Gable,AsbShng,Plywood,None,0,TA,TA,PConc,127000
1892,1993,Gable,Wd Sdng,Wd Sdng,None,0,Gd,Gd,BrkTil,475000
1990,1991,Gable,HdBoard,HdBoard,None,0,TA,TA,PConc,173000
1916,1987,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,135000
1979,1979,Gable,Plywood,Plywood,Stone,275,TA,TA,CBlock,153337
2001,2002,Gable,CemntBd,CmentBd,None,0,Gd,TA,PConc,286000
1932,1994,Hip,BrkFace,BrkFace,None,0,Gd,TA,CBlock,315000
1972,2004,Gable,HdBoard,HdBoard,BrkFace,138,TA,TA,CBlock,184000
1999,1999,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,192000
2004,2004,Gable,VinylSd,VinylSd,Stone,50,Gd,TA,PConc,130000
1972,1972,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,127000
1976,1976,Gable,Plywood,Brk Cmn,None,0,TA,TA,CBlock,148500
2007,2007,Hip,CemntBd,CmentBd,Stone,205,Ex,TA,PConc,311872
1918,1990,Gable,Stucco,Stucco,None,0,Gd,Gd,PConc,235000
2004,2005,Hip,VinylSd,VinylSd,BrkFace,262,Gd,TA,PConc,274900
2003,2004,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,140000
1977,1977,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,171500
1924,1950,Gable,MetalSd,MetalSd,None,0,TA,Gd,BrkTil,112000
2004,2004,Gable,VinylSd,VinylSd,BrkFace,205,Gd,TA,PConc,149000
1947,1950,Gable,AsbShng,AsbShng,None,0,TA,TA,CBlock,110000
1990,1990,Gable,HdBoard,HdBoard,None,0,TA,TA,PConc,180500
1962,1962,Gable,HdBoard,HdBoard,None,0,TA,Gd,CBlock,143900
1960,1960,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,141000
1988,1989,Gable,Plywood,Plywood,BrkFace,128,Gd,TA,CBlock,277000
1964,1964,Hip,HdBoard,HdBoard,Stone,260,TA,TA,CBlock,145000
2009,2009,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,186000
2009,2009,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,252678
1995,1995,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,156000
1977,1977,Gable,HdBoard,HdBoard,BrkFace,153,TA,TA,CBlock,161750
1957,1996,Gable,HdBoard,HdBoard,BrkFace,64,TA,TA,CBlock,134450
2004,2004,Gable,VinylSd,VinylSd,BrkFace,266,Gd,TA,PConc,210000
1925,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,107000
1939,2006,Gable,VinylSd,VinylSd,BrkFace,312,Gd,Gd,CBlock,311500
2005,2006,Gable,VinylSd,VinylSd,BrkFace,16,Gd,TA,PConc,167240
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,204900
2002,2002,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,200000
1975,1975,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,179900
1971,1971,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,97000
2003,2003,Hip,VinylSd,VinylSd,BrkFace,922,Ex,TA,PConc,386250
1971,1971,Gable,HdBoard,HdBoard,BrkFace,142,TA,TA,CBlock,112000
1995,1995,Gable,VinylSd,VinylSd,BrkFace,290,Gd,TA,PConc,290000
1970,1970,Gable,HdBoard,HdBoard,BrkFace,127,TA,TA,CBlock,106000
1967,1967,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,125000
2005,2006,Gable,VinylSd,VinylSd,BrkFace,16,Gd,TA,PConc,192500
1959,1959,Hip,MetalSd,MetalSd,BrkFace,220,TA,TA,CBlock,148000
1995,1996,Gable,VinylSd,VinylSd,BrkFace,506,Gd,TA,PConc,403000
1972,1972,Gable,HdBoard,HdBoard,BrkFace,297,TA,TA,CBlock,94500
1976,1976,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,128200
1971,1971,Gable,HdBoard,HdBoard,BrkFace,604,TA,TA,CBlock,89500
2004,2004,Gable,VinylSd,VinylSd,BrkFace,98,Gd,TA,PConc,185500
1993,2003,Gable,HdBoard,HdBoard,None,0,Gd,TA,PConc,194500
2007,2007,Hip,VinylSd,VinylSd,BrkFace,254,Ex,TA,PConc,318000
1945,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,113000
2008,2008,Gable,VinylSd,VinylSd,Stone,36,Gd,TA,PConc,262500
1900,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,79000
1980,1980,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,120000
1994,2002,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,205000
1988,1988,Gable,Wd Sdng,Wd Sdng,BrkFace,102,TA,TA,CBlock,241500
1910,1950,Gable,AsbShng,AsbShng,None,0,TA,Fa,Stone,137000
1954,1954,Hip,Wd Sdng,BrkFace,None,0,TA,TA,CBlock,140000
2003,2003,Gable,VinylSd,VinylSd,BrkFace,101,Gd,TA,PConc,180000
1958,2006,Gable,Wd Sdng,HdBoard,BrkCmn,472,Gd,TA,CBlock,277000
2006,2007,Hip,VinylSd,VinylSd,Stone,481,Gd,TA,PConc,235000
2004,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,173000
1964,1991,Hip,HdBoard,HdBoard,BrkFace,108,TA,TA,CBlock,158000
1957,1957,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,145000
1999,1999,Gable,VinylSd,VinylSd,BrkFace,302,Gd,TA,PConc,230000
2003,2003,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,207500
2006,2006,Gable,VinylSd,VinylSd,Stone,180,Gd,TA,PConc,220000
2001,2001,Gable,VinylSd,VinylSd,BrkFace,172,Gd,TA,PConc,231500
1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,399,TA,TA,CBlock,176000
2007,2007,Gable,CemntBd,CmentBd,Stone,270,Gd,TA,PConc,276000
1977,1995,Gable,HdBoard,Plywood,BrkFace,46,TA,TA,CBlock,151000
1929,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,130000
1925,2004,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,73000
1981,1981,Gable,MetalSd,MetalSd,BrkFace,210,TA,Gd,CBlock,175500
1997,1997,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,185000
1939,1997,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,179500
1940,1955,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,120500
1976,1976,Hip,HdBoard,HdBoard,BrkFace,174,TA,Gd,CBlock,148000
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,266000
1954,2005,Flat,Plywood,Plywood,None,0,TA,TA,CBlock,241500
1999,2007,Gable,VinylSd,VinylSd,BrkFace,348,Gd,TA,PConc,290000
1958,1988,Hip,Wd Sdng,Wd Sdng,BrkCmn,183,TA,TA,CBlock,139000
1982,1982,Gable,HdBoard,ImStucc,None,0,TA,TA,CBlock,124500
1925,2007,Gable,Wd Sdng,Wd Sdng,None,0,Gd,Gd,BrkTil,205000
2003,2003,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,201000
1951,1951,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,141000
2006,2007,Gable,CemntBd,CmentBd,BrkFace,315,Ex,TA,PConc,415298
1977,1977,Hip,Plywood,Plywood,BrkFace,299,TA,TA,CBlock,192000
1989,1989,Gable,Plywood,Plywood,BrkFace,340,Gd,TA,CBlock,228500
2006,2006,Gable,VinylSd,VinylSd,Stone,68,Gd,TA,PConc,185000
2007,2008,Gable,VinylSd,VinylSd,Stone,166,Gd,TA,PConc,207500
2008,2009,Gable,VinylSd,VinylSd,Stone,72,Gd,TA,PConc,244600
1992,1992,Gable,Plywood,ImStucc,None,0,Gd,TA,PConc,179200
2006,2007,Gable,MetalSd,MetalSd,None,0,Gd,TA,PConc,164700
1962,1981,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,159000
1967,1967,Gable,MetalSd,MetalSd,BrkFace,31,TA,Gd,CBlock,122000
1915,2003,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,153575
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,233230
1949,2008,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,131000
1977,1994,Gable,Plywood,Plywood,BrkFace,34,TA,TA,CBlock,235000
1953,1953,Hip,HdBoard,HdBoard,Stone,238,TA,TA,CBlock,167000
1984,1984,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,142500
1950,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,152000
1997,1998,Hip,VinylSd,VinylSd,BrkFace,1600,Gd,TA,PConc,239000
1968,1968,Mansard,HdBoard,AsphShn,BrkFace,365,Gd,TA,CBlock,175000
1950,2004,Gable,HdBoard,HdBoard,None,0,TA,Gd,CBlock,158500
1953,1953,Hip,MetalSd,MetalSd,BrkFace,56,TA,TA,CBlock,157000
1998,1999,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,267000
2001,2002,Gable,VinylSd,VinylSd,BrkFace,150,Gd,TA,PConc,205000
1972,1972,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,149900
1880,2002,Gable,CemntBd,CmentBd,None,0,TA,TA,BrkTil,295000
2004,2005,Gable,CemntBd,CmentBd,Stone,246,Gd,TA,PConc,305900
1990,1991,Gable,HdBoard,Plywood,BrkFace,246,Gd,TA,CBlock,225000
1940,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,82500
2003,2004,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,360000
1993,1994,Gable,HdBoard,HdBoard,BrkFace,112,TA,TA,PConc,165600
1948,2002,Gable,VinylSd,VinylSd,None,0,TA,Gd,CBlock,132000
1939,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,119900
1965,1965,Hip,BrkFace,BrkFace,None,0,TA,TA,CBlock,375000
1925,1990,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,178000
2004,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,188500
1980,1980,Gable,CemntBd,CmentBd,BrkFace,278,Gd,TA,CBlock,260000
2006,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,270000
1993,1993,Gable,HdBoard,HdBoard,BrkFace,256,Gd,TA,PConc,260000
1980,1980,Gable,Plywood,Plywood,BrkFace,225,TA,TA,CBlock,187500
2006,2006,Gable,VinylSd,VinylSd,Stone,370,TA,TA,PConc,342643
2004,2004,Gable,VinylSd,VinylSd,BrkFace,388,Gd,TA,PConc,354000
1986,1987,Gable,Plywood,Plywood,BrkFace,172,Gd,TA,CBlock,301000
1955,2005,Gable,VinylSd,VinylSd,None,0,TA,Gd,CBlock,126175
1967,2007,Mansard,Wd Sdng,Wd Sdng,BrkFace,300,Gd,Gd,CBlock,242000
1941,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,87000
1993,1993,Gable,BrkFace,BrkFace,None,0,Gd,TA,PConc,324000
1960,1960,Hip,Wd Sdng,Wd Sdng,BrkFace,175,TA,TA,CBlock,145250
1916,1994,Gable,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,214500
1920,1950,Gable,Wd Sdng,Wd Shng,None,0,TA,TA,PConc,78000
1964,1964,Gable,HdBoard,HdBoard,BrkFace,84,TA,TA,CBlock,119000
1958,1992,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,139000
2004,2004,Gable,VinylSd,VinylSd,Stone,146,Gd,TA,PConc,207000
1998,1998,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,192000
1965,1965,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,228950
2005,2006,Hip,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,377426
2002,2003,Gable,VinylSd,VinylSd,BrkFace,113,Gd,TA,PConc,214000
1984,1998,Gable,Wd Sdng,Wd Sdng,None,0,Gd,TA,CBlock,202500
1958,1998,Hip,Wd Sdng,Wd Sdng,BrkFace,176,TA,TA,CBlock,155000
2002,2002,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,202900
1950,1950,Gable,Wd Sdng,AsbShng,None,0,Fa,Fa,CBlock,82000
2005,2005,Hip,MetalSd,MetalSd,BrkFace,616,Ex,TA,PConc,266000
1976,1976,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,85000
1939,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,140200
1960,1998,Hip,MetalSd,MetalSd,None,0,TA,Gd,CBlock,151500
1960,1960,Gable,Wd Sdng,Wd Sdng,BrkFace,30,TA,TA,CBlock,157500
2003,2004,Gable,VinylSd,Wd Shng,Stone,106,Gd,TA,PConc,154000
2005,2006,Hip,CemntBd,CmentBd,BrkFace,870,Ex,TA,PConc,437154
2007,2007,Hip,MetalSd,MetalSd,BrkFace,362,Ex,TA,PConc,318061
1986,1986,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,190000
1941,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,95000
1928,2003,Gable,VinylSd,VinylSd,None,0,TA,Gd,BrkTil,105900
1940,2000,Gable,Wd Sdng,MetalSd,None,0,TA,TA,CBlock,140000
1995,1995,Gable,VinylSd,VinylSd,None,0,Gd,Gd,PConc,177500
1992,1992,Gable,HdBoard,HdBoard,BrkFace,106,TA,TA,PConc,173000
