BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,X1stFlrSF,GrLivArea,SalePrice
Gd,ALQ,941,217,1158,Ex,Y,SBrkr,1158,1158,158000
TA,Unf,0,530,530,TA,N,SBrkr,581,1111,101000
Gd,GLQ,24,1346,1370,Ex,Y,SBrkr,1370,1370,202500
TA,Unf,0,576,576,Gd,Y,SBrkr,902,1710,140000
Gd,GLQ,739,318,1057,Ex,Y,SBrkr,1057,2034,219500
Ex,Unf,0,1143,1143,Ex,Y,SBrkr,1143,2473,317000
Gd,GLQ,912,1035,1947,TA,Y,SBrkr,2207,2207,180000
Gd,GLQ,1013,440,1453,Ex,Y,SBrkr,1479,1479,226000
TA,Unf,0,747,747,TA,Y,SBrkr,747,747,80000
TA,BLQ,603,701,1304,TA,Y,SBrkr,1304,2287,225000
Gd,ALQ,1880,343,2223,Ex,Y,SBrkr,2223,2223,244000
TA,ALQ,565,280,845,TA,Y,SBrkr,845,845,129500
Gd,Unf,0,832,832,Gd,Y,SBrkr,885,1718,185000
TA,ALQ,320,404,1086,Gd,Y,SBrkr,1086,1086,144900
Fa,Unf,0,840,840,Gd,N,SBrkr,840,1605,107400
Gd,GLQ,462,0,462,TA,Y,SBrkr,526,988,91000
TA,ALQ,228,724,952,Ex,Y,FuseA,952,952,135750
TA,BLQ,336,295,672,TA,Y,SBrkr,1072,1285,127000
TA,Unf,0,440,440,Gd,Y,SBrkr,682,1230,110000
Gd,Rec,448,448,896,TA,Y,SBrkr,1182,2142,193500
Ex,GLQ,1201,36,1237,Ex,Y,SBrkr,1337,1337,153500
Gd,GLQ,33,1530,1563,Ex,Y,SBrkr,1563,1563,245000
TA,Unf,0,1065,1065,Gd,Y,SBrkr,1065,1065,126500
Gd,Unf,0,384,384,Gd,Y,SBrkr,804,1474,168500
Gd,Unf,0,1288,1288,Ex,Y,SBrkr,1301,2417,260000
Gd,Unf,0,684,684,Ex,Y,SBrkr,684,1560,174000
Gd,Unf,0,612,612,Ex,Y,SBrkr,612,1224,164500
TA,Rec,600,635,1235,TA,Y,SBrkr,1235,1235,98600
Gd,ALQ,713,163,876,Ex,Y,SBrkr,964,964,163500
TA,Rec,1046,168,1214,Ex,N,SBrkr,1260,2291,133900
Gd,GLQ,648,176,824,Ex,Y,SBrkr,905,1786,204750
Gd,ALQ,310,370,680,Gd,Y,SBrkr,680,1470,185000
Gd,ALQ,1162,426,1588,Ex,Y,SBrkr,1588,1588,214000
TA,Rec,520,440,960,TA,Y,FuseF,960,960,94750
TA,ALQ,108,350,458,Fa,N,SBrkr,835,835,83000
TA,ALQ,1200,410,1610,Gd,Y,SBrkr,1610,1610,205000
Gd,Unf,0,741,741,TA,Y,SBrkr,977,1732,178000
Gd,Unf,0,1226,1226,Ex,Y,SBrkr,1226,1226,198900
TA,LwQ,224,816,1040,Ex,Y,FuseF,1226,1818,169500
Ex,Unf,0,1053,1053,Ex,Y,SBrkr,1053,1992,250000
Fa,Unf,0,641,641,Gd,Y,SBrkr,1047,1047,100000
TA,ALQ,104,516,789,Ex,Y,SBrkr,789,789,115000
Gd,BLQ,705,1139,1844,Ex,Y,SBrkr,1844,1844,190000
TA,Rec,444,550,994,Gd,Y,SBrkr,1216,1855,136900
Gd,GLQ,250,134,384,Ex,Y,SBrkr,774,1430,180000
Ex,GLQ,984,280,1264,Ex,Y,SBrkr,1282,2696,383970
Gd,ALQ,35,905,1809,TA,Y,SBrkr,2259,2259,217000
TA,ALQ,774,104,1028,Ex,Y,SBrkr,1436,2320,259500
Gd,GLQ,419,310,729,Gd,Y,SBrkr,729,1458,176000
TA,LwQ,170,252,1092,TA,Y,SBrkr,1092,1092,139000
Gd,Unf,0,1125,1125,Gd,Y,SBrkr,1125,1125,155000
Gd,GLQ,1470,203,1673,Gd,Y,SBrkr,1699,3222,320000
Gd,Unf,0,728,728,Ex,Y,SBrkr,728,1456,163990
TA,ALQ,938,0,938,Ex,Y,SBrkr,988,988,180000
TA,Unf,0,732,732,Gd,Y,SBrkr,772,1123,100000
TA,BLQ,570,510,1080,Gd,Y,SBrkr,1080,1080,136000
Gd,GLQ,300,899,1199,Ex,Y,SBrkr,1199,1199,153900
Gd,Unf,0,1362,1362,TA,Y,SBrkr,1586,1586,181000
Gd,ALQ,120,958,1078,TA,Y,SBrkr,958,958,128000
TA,BLQ,512,148,660,TA,Y,SBrkr,660,1348,155000
TA,Rec,567,413,1008,TA,Y,FuseA,1053,1053,150000
TA,Rec,445,479,924,Ex,Y,SBrkr,1216,2157,226000
Gd,GLQ,695,297,992,Ex,Y,SBrkr,1022,2054,244000
TA,Rec,405,658,1063,Gd,Y,SBrkr,1327,1327,150750
Ex,GLQ,1005,262,1267,Ex,Y,SBrkr,1296,1296,220000
TA,Rec,570,891,1461,Gd,Y,SBrkr,1721,1721,180000
TA,Unf,0,1304,1304,Gd,Y,SBrkr,1682,1682,174000
TA,BLQ,695,519,1214,TA,Y,SBrkr,1214,1214,143000
TA,Unf,0,1907,1907,Gd,Y,SBrkr,1959,1959,171000
Gd,GLQ,668,336,1004,Ex,Y,SBrkr,1004,1852,230000
Gd,GLQ,821,107,928,Ex,Y,SBrkr,928,1764,231500
Gd,GLQ,1300,434,1734,Ex,Y,SBrkr,1734,1734,260000
TA,Rec,507,403,910,Fa,Y,SBrkr,910,1385,166000
Gd,GLQ,679,811,1490,Ex,Y,SBrkr,1501,1501,204000
TA,Rec,1332,396,1728,TA,Y,SBrkr,1728,1728,125000
Gd,Unf,0,970,970,Ex,Y,SBrkr,970,1709,130000
TA,BLQ,209,506,715,TA,Y,FuseA,875,875,105000
Gd,Unf,0,884,884,Ex,Y,SBrkr,884,2035,222500
Gd,Unf,0,896,896,Gd,Y,FuseA,896,1344,115000
TA,BLQ,716,253,969,TA,Y,SBrkr,969,969,122000
Ex,GLQ,1400,310,1710,Ex,Y,SBrkr,1710,1710,372402
TA,Rec,416,409,825,Gd,Y,SBrkr,1097,1993,190000
Gd,BLQ,429,93,1602,Gd,Y,SBrkr,1252,1252,235000
TA,Unf,0,1200,1200,TA,Y,FuseA,1200,1200,125000
Ex,Unf,0,774,774,Ex,Y,SBrkr,774,1968,269500
Gd,GLQ,222,769,991,Ex,Y,SBrkr,991,1947,254900
Gd,GLQ,57,1335,1392,Ex,Y,SBrkr,1392,2462,320000
Gd,BLQ,660,572,1232,TA,Y,SBrkr,1232,1232,162500
Ex,GLQ,1016,556,1572,Ex,Y,SBrkr,1572,2668,412500
Gd,BLQ,1201,340,1541,Ex,Y,SBrkr,1541,1541,220000
TA,LwQ,370,779,1149,Gd,Y,FuseA,1149,1616,152000
TA,LwQ,379,470,1617,Ex,Y,FuseA,1867,1867,190000
Ex,GLQ,1288,294,1582,Ex,Y,SBrkr,1610,2161,325624
Gd,Unf,0,840,840,Ex,Y,SBrkr,840,1720,183500
Gd,Unf,0,1686,1686,TA,Y,SBrkr,1707,1707,228000
TA,Rec,360,360,720,TA,Y,SBrkr,854,1382,128500
TA,BLQ,639,441,1080,Fa,Y,SBrkr,1656,1656,215000
Gd,GLQ,495,354,1064,Gd,Y,SBrkr,1064,1767,239000
TA,ALQ,288,700,1362,TA,Y,SBrkr,1362,1362,163000
Gd,ALQ,1398,0,1606,TA,Y,SBrkr,1651,1651,184000
TA,ALQ,477,725,1202,TA,Y,SBrkr,2158,2158,243000
Gd,GLQ,831,320,1151,TA,Y,SBrkr,1164,2060,211000
TA,ALQ,57,554,1052,Ex,Y,SBrkr,1252,1920,172500
Ex,GLQ,1904,312,2216,Ex,Y,SBrkr,2234,2234,501837
TA,Unf,0,968,968,TA,Y,SBrkr,968,968,100000
Gd,GLQ,436,320,756,Ex,Y,SBrkr,769,1525,177000
Fa,LwQ,352,441,793,Gd,Y,SBrkr,901,1802,200100
Gd,Unf,0,1362,1362,Ex,Y,SBrkr,1362,2082,200000
Fa,Unf,0,504,504,Gd,Y,SBrkr,936,1252,127000
TA,Unf,0,1107,1107,Ex,Y,SBrkr,1518,3608,475000
Gd,GLQ,611,577,1188,Ex,Y,SBrkr,1217,1217,173000
Fa,Unf,0,660,660,Ex,Y,SBrkr,808,1656,135000
Gd,GLQ,1086,0,1086,TA,Y,SBrkr,1224,1224,153337
Ex,GLQ,1153,440,1593,Ex,Y,SBrkr,1593,1593,286000
Gd,Rec,297,556,853,TA,Y,SBrkr,1549,2727,315000
TA,ALQ,626,99,725,Gd,Y,SBrkr,725,1479,184000
Gd,GLQ,560,871,1431,Ex,Y,SBrkr,1431,1431,192000
Gd,Unf,0,970,970,Ex,Y,SBrkr,970,1709,130000
TA,ALQ,390,474,864,TA,Y,SBrkr,864,864,127000
Gd,ALQ,566,289,855,TA,Y,SBrkr,855,1456,148500
Ex,GLQ,1126,600,1726,Ex,Y,SBrkr,1726,1726,311872
TA,GLQ,1036,140,1360,Gd,Y,SBrkr,1360,3112,235000
Ex,GLQ,1088,625,1713,Ex,Y,SBrkr,1713,1713,274900
Gd,Unf,0,1121,1121,Ex,Y,SBrkr,1121,1121,140000
TA,ALQ,641,276,1196,TA,Y,SBrkr,1279,1279,171500
Fa,LwQ,617,0,617,Gd,Y,SBrkr,865,1310,112000
Gd,GLQ,662,186,848,Ex,Y,SBrkr,848,848,149000
TA,LwQ,312,408,720,TA,Y,SBrkr,720,1284,110000
Gd,Unf,0,1424,1424,Ex,Y,SBrkr,1442,1442,180500
TA,Unf,0,1140,1140,TA,Y,SBrkr,1696,1696,143900
TA,ALQ,419,375,1100,TA,Y,SBrkr,1100,1100,141000
Gd,GLQ,1065,92,1157,Ex,Y,SBrkr,1180,2062,277000
Gd,Rec,787,305,1092,Ex,Y,SBrkr,1092,1092,145000
Gd,GLQ,36,1176,1212,Ex,Y,SBrkr,1212,1212,186000
Gd,GLQ,822,78,900,Ex,Y,SBrkr,932,1852,252678
Gd,ALQ,716,274,990,Ex,Y,SBrkr,990,990,156000
Gd,GLQ,378,311,689,Ex,Y,SBrkr,689,1392,161750
TA,BLQ,360,710,1070,TA,Y,SBrkr,1236,1236,134450
Gd,GLQ,946,490,1436,Ex,Y,SBrkr,1436,1436,210000
TA,Unf,0,686,686,Fa,N,SBrkr,810,1328,107000
TA,BLQ,341,457,798,Ex,Y,SBrkr,1137,1954,311500
Gd,GLQ,16,1232,1248,Ex,Y,SBrkr,1248,1248,167240
Gd,Unf,0,1498,1498,Ex,Y,SBrkr,1498,1498,204900
Gd,Unf,0,1010,1010,Ex,Y,SBrkr,1010,2267,200000
Gd,ALQ,550,163,713,TA,Y,SBrkr,811,1552,179900
TA,ALQ,524,160,864,Gd,Y,SBrkr,864,864,97000
Ex,GLQ,56,2336,2392,Ex,Y,SBrkr,2392,2392,386250
TA,Unf,0,630,630,TA,Y,SBrkr,630,1302,112000
Gd,GLQ,565,638,1203,Ex,Y,SBrkr,1214,2520,290000
TA,Rec,321,162,483,TA,Y,SBrkr,483,987,106000
TA,ALQ,842,70,912,TA,Y,SBrkr,912,912,125000
Gd,GLQ,16,1357,1373,Ex,Y,SBrkr,1555,1555,192500
TA,Unf,0,1194,1194,TA,Y,SBrkr,1194,1194,148000
Gd,GLQ,689,773,1462,Ex,Y,SBrkr,1490,2794,403000
TA,Unf,0,483,483,TA,Y,SBrkr,483,987,94500
TA,LwQ,182,0,894,TA,Y,SBrkr,894,894,128200
TA,ALQ,358,125,483,TA,Y,SBrkr,483,987,89500
Gd,GLQ,24,1390,1414,Ex,Y,SBrkr,1414,1414,185500
Gd,BLQ,402,594,996,Ex,Y,SBrkr,1014,1744,194500
Ex,Unf,0,1694,1694,Ex,Y,SBrkr,1694,1694,318000
TA,LwQ,94,641,735,TA,Y,FuseA,798,1487,113000
Gd,GLQ,1078,488,1566,Ex,Y,SBrkr,1566,1566,262500
TA,Unf,0,540,540,Gd,N,FuseA,889,1440,79000
Gd,Unf,0,626,626,TA,Y,SBrkr,626,1217,120000
Gd,GLQ,695,253,948,Ex,Y,SBrkr,1222,2110,205000
Gd,GLQ,929,916,1845,Gd,Y,SBrkr,1872,1872,241500
Fa,Unf,0,1020,1020,Gd,N,FuseP,908,1928,137000
TA,Unf,0,1367,1367,Ex,Y,SBrkr,1375,1375,140000
Gd,Unf,0,840,840,Ex,Y,SBrkr,840,1668,180000
Gd,Rec,697,747,1444,Gd,Y,SBrkr,1444,2144,277000
Gd,GLQ,1573,0,1573,Ex,Y,SBrkr,1625,1625,235000
Gd,Unf,0,798,798,Ex,Y,SBrkr,798,1640,173000
Gd,LwQ,270,452,1302,Ex,Y,SBrkr,1302,1302,158000
TA,Rec,922,392,1314,TA,Y,SBrkr,1314,1314,145000
Gd,Unf,0,975,975,Ex,Y,SBrkr,1005,2291,230000
Gd,Rec,503,361,864,Ex,Y,SBrkr,864,1728,207500
Gd,GLQ,1334,270,1604,Ex,Y,SBrkr,1604,1604,220000
Gd,GLQ,361,602,963,Ex,Y,SBrkr,963,1792,231500
TA,Rec,672,0,1362,TA,Y,SBrkr,1382,1382,176000
Ex,Unf,0,1482,1482,Ex,Y,SBrkr,1482,2574,276000
Gd,ALQ,506,0,506,TA,Y,SBrkr,1212,1212,151000
TA,LwQ,234,0,926,TA,Y,SBrkr,926,1316,130000
Fa,Unf,0,680,680,Gd,N,FuseP,764,764,73000
Gd,GLQ,588,606,1422,TA,Y,SBrkr,1422,1422,175500
Gd,GLQ,714,88,802,Gd,Y,SBrkr,802,1511,185000
TA,LwQ,378,342,720,Ex,Y,SBrkr,1052,2192,179500
TA,ALQ,403,212,740,Ex,Y,SBrkr,778,778,120500
TA,BLQ,751,392,1143,TA,Y,SBrkr,1113,1113,148000
Gd,Unf,0,1095,1095,Gd,Y,SBrkr,1095,1939,266000
Gd,LwQ,226,96,1385,Ex,Y,SBrkr,1363,1363,241500
Gd,GLQ,524,628,1152,Ex,Y,SBrkr,1164,2270,290000
TA,Rec,620,0,1240,Gd,Y,SBrkr,1632,1632,139000
TA,ALQ,546,270,816,TA,Y,SBrkr,816,816,124500
TA,Unf,0,952,952,Gd,N,SBrkr,952,1548,205000
Ex,Unf,0,1560,1560,Ex,Y,SBrkr,1560,1560,201000
TA,LwQ,120,744,864,Ex,Y,SBrkr,864,864,141000
Ex,Unf,0,2121,2121,Ex,Y,SBrkr,2121,2121,415298
Gd,BLQ,392,768,1160,Ex,Y,SBrkr,1156,2022,192000
Gd,GLQ,421,386,807,Gd,Y,SBrkr,1175,1982,228500
Gd,GLQ,905,357,1262,Gd,Y,SBrkr,1262,1262,185000
Gd,GLQ,904,410,1314,Ex,Y,SBrkr,1314,1314,207500
Gd,Unf,0,1468,1468,Ex,Y,SBrkr,1468,1468,244600
Gd,GLQ,430,1145,1575,Gd,Y,SBrkr,1575,1575,179200
Gd,Unf,0,625,625,Ex,Y,SBrkr,625,1250,164700
TA,Rec,600,312,912,TA,Y,SBrkr,1085,1734,159000
TA,BLQ,450,432,882,TA,Y,SBrkr,900,900,122000
TA,Unf,0,698,698,Ex,Y,FuseA,698,1396,153575
Gd,Unf,0,1079,1079,Ex,Y,SBrkr,1079,1919,233230
TA,LwQ,292,476,768,Gd,Y,SBrkr,1148,1716,131000
TA,ALQ,795,0,795,Fa,Y,SBrkr,1468,2263,235000
TA,GLQ,1285,131,1416,TA,Y,SBrkr,1644,1644,167000
TA,GLQ,819,184,1003,TA,Y,SBrkr,1003,1003,142500
TA,BLQ,420,490,910,TA,Y,FuseA,910,1558,152000
Gd,BLQ,649,326,975,Ex,Y,SBrkr,975,1950,239000
TA,ALQ,384,143,702,Gd,Y,SBrkr,1041,1743,175000
TA,Unf,0,1092,1092,Ex,Y,SBrkr,1152,1152,158500
TA,BLQ,841,324,1165,TA,Y,SBrkr,1336,1336,157000
Gd,GLQ,281,747,1028,Ex,Y,SBrkr,1210,2452,267000
Gd,Unf,0,1541,1541,Ex,Y,SBrkr,1541,1541,205000
TA,ALQ,894,0,894,TA,Y,SBrkr,894,894,149900
TA,Unf,0,1470,1470,Ex,Y,SBrkr,1675,3493,295000
Gd,GLQ,1464,536,2000,Ex,Y,SBrkr,2000,2000,305900
Gd,ALQ,700,0,700,Gd,Y,SBrkr,1122,2243,225000
TA,BLQ,262,599,861,Ex,Y,SBrkr,861,861,82500
Ex,GLQ,1274,622,1896,Ex,Y,SBrkr,1944,1944,360000
Gd,ALQ,518,179,697,Gd,Y,SBrkr,697,1501,165600
TA,ALQ,680,292,972,Ex,Y,SBrkr,972,972,132000
Gd,Rec,507,286,793,TA,Y,SBrkr,793,1118,119900
Gd,ALQ,1236,80,2136,TA,Y,SBrkr,2036,2036,375000
TA,LwQ,16,712,728,Ex,Y,SBrkr,832,1641,178000
Gd,GLQ,425,291,716,Ex,Y,SBrkr,716,1432,188500
Gd,GLQ,692,153,845,TA,Y,SBrkr,1153,2353,260000
Gd,Unf,0,1088,1088,Ex,Y,SBrkr,1088,1959,270000
Gd,GLQ,987,360,1347,Ex,Y,SBrkr,1372,2646,260000
Gd,GLQ,1036,336,1372,TA,Y,SBrkr,1472,1472,187500
Ex,Unf,0,1249,1249,Ex,Y,SBrkr,1249,2596,342643
Ex,GLQ,970,166,1136,Ex,Y,SBrkr,1136,2468,354000
TA,LwQ,28,0,1502,Ex,Y,SBrkr,1553,2730,301000
TA,ALQ,256,906,1162,Ex,Y,SBrkr,1163,1163,126175
Gd,Unf,0,710,710,Ex,Y,SBrkr,1898,2978,242000
TA,BLQ,116,604,720,Po,N,FuseF,803,803,87000
Gd,GLQ,1619,100,1719,Ex,Y,SBrkr,1719,1719,324000
TA,Rec,565,818,1383,TA,Y,SBrkr,1383,1383,145250
TA,Unf,0,844,844,Gd,N,FuseA,1445,2134,214500
TA,Unf,0,596,596,TA,N,SBrkr,596,1192,78000
TA,GLQ,40,1424,1728,TA,Y,SBrkr,1728,1728,119000
TA,Rec,846,210,1056,Fa,Y,SBrkr,1056,1056,139000
Gd,GLQ,720,638,1358,Ex,Y,SBrkr,1358,1358,207000
Gd,GLQ,828,115,943,Gd,Y,SBrkr,943,1638,192000
TA,ALQ,1249,103,1499,Ex,Y,SBrkr,1619,1786,228950
Ex,GLQ,1249,673,1922,Ex,Y,SBrkr,1922,1922,377426
Gd,GLQ,810,726,1536,Ex,Y,SBrkr,1536,1536,214000
Gd,ALQ,213,995,1208,Ex,Y,SBrkr,1621,1621,202500
TA,Rec,585,630,1215,TA,Y,FuseA,1215,1215,155000
Gd,Unf,0,967,967,Ex,Y,SBrkr,993,1908,202900
TA,Unf,0,721,721,Gd,Y,SBrkr,841,841,82000
Ex,GLQ,28,1656,1684,Ex,Y,SBrkr,1684,1684,266000
Gd,Rec,129,175,536,TA,Y,SBrkr,536,1112,85000
TA,Unf,0,972,972,Gd,Y,SBrkr,972,1577,140200
TA,BLQ,498,460,958,TA,Y,SBrkr,958,958,151500
TA,BLQ,1270,208,1478,Ex,Y,FuseA,1478,1478,157500
Gd,GLQ,573,191,764,Ex,Y,SBrkr,764,1626,154000
Ex,GLQ,1410,438,1848,Ex,Y,SBrkr,1848,2728,437154
Ex,Unf,0,1869,1869,Ex,Y,SBrkr,1869,1869,318061
Gd,GLQ,1082,371,1453,Gd,Y,SBrkr,1453,1453,190000
TA,LwQ,236,0,616,TA,N,SBrkr,616,1111,95000
TA,Unf,0,624,624,Gd,Y,SBrkr,720,720,105900
TA,LwQ,388,552,940,Ex,Y,SBrkr,1192,1595,140000
Gd,ALQ,334,322,1200,Ex,Y,SBrkr,1200,1200,177500
Gd,GLQ,560,598,1158,Gd,Y,SBrkr,1167,1167,173000
Gd,ALQ,874,268,1142,TA,Y,SBrkr,1142,1142,134000
TA,BLQ,300,468,1062,Ex,Y,FuseF,1352,1352,130000
Gd,GLQ,956,130,1086,Ex,Y,SBrkr,1086,1924,280000
Gd,GLQ,773,115,888,Ex,Y,SBrkr,912,912,156000
TA,Rec,399,484,883,Gd,Y,SBrkr,988,1505,145000
TA,ALQ,162,321,483,Gd,Y,SBrkr,483,987,118000
Gd,GLQ,712,84,796,TA,Y,SBrkr,790,1574,190000
TA,Rec,456,216,672,Gd,Y,FuseA,672,1344,147000
Gd,BLQ,609,785,1394,Gd,Y,SBrkr,1394,1394,159000
Gd,GLQ,371,728,1099,Gd,Y,SBrkr,1431,1431,165000
TA,LwQ,540,728,1268,Gd,Y,SBrkr,1268,1268,132000
TA,ALQ,72,733,1063,Ex,Y,SBrkr,1287,1287,162000
Gd,Unf,0,953,953,Ex,Y,SBrkr,953,1664,172400
Gd,ALQ,623,0,744,TA,Y,SBrkr,752,752,125000
TA,BLQ,428,0,608,TA,Y,SBrkr,1319,1319,123000
Gd,Unf,0,847,847,Ex,Y,SBrkr,847,1928,219500
Gd,GLQ,298,572,870,Ex,Y,SBrkr,914,914,148000
Gd,Unf,0,1580,1580,Ex,Y,SBrkr,1580,2466,340000
Ex,GLQ,1445,411,1856,Ex,Y,SBrkr,1856,1856,394432
Gd,Unf,0,982,982,Ex,Y,SBrkr,1007,1800,179000
TA,LwQ,218,808,1026,TA,Y,SBrkr,1026,1691,127000
Gd,Unf,0,1293,1293,Ex,Y,SBrkr,1301,1301,187750
Gd,Unf,0,939,939,Ex,Y,SBrkr,939,1797,213500
Fa,Unf,0,784,784,TA,N,FuseA,784,784,76000
Gd,GLQ,985,595,1580,Ex,Y,SBrkr,1079,1953,240000
Gd,GLQ,24,1232,1256,Ex,Y,SBrkr,1269,1269,192000
TA,ALQ,631,410,1041,Ex,Y,SBrkr,1125,1125,125000
Gd,Unf,0,1468,1468,Ex,Y,SBrkr,1479,1479,191000
Ex,GLQ,1280,402,1682,Ex,Y,SBrkr,1742,2332,426000
TA,Rec,241,229,861,Ex,Y,SBrkr,961,1367,119000
Ex,ALQ,690,114,804,Ex,Y,SBrkr,804,1961,215000
TA,Unf,0,735,735,Gd,Y,FuseA,735,1034,109000
TA,BLQ,739,405,1144,TA,Y,SBrkr,1144,1144,129000
TA,Rec,777,117,894,TA,Y,SBrkr,894,894,123000
TA,ALQ,540,324,864,TA,Y,SBrkr,876,1812,169500
Fa,Unf,0,961,961,Gd,Y,Mix,1077,1077,67000
Gd,GLQ,812,280,1092,Ex,Y,SBrkr,1112,1550,241000
Gd,GLQ,786,474,1260,Ex,Y,SBrkr,1288,1288,245500
Gd,GLQ,24,1286,1310,Ex,Y,SBrkr,1310,1310,164990
TA,Unf,0,672,672,Ex,Y,SBrkr,672,672,108000
Gd,Unf,0,1141,1141,Gd,Y,SBrkr,1165,2263,258000
Gd,Unf,0,806,806,Gd,Y,SBrkr,806,1572,168000
TA,BLQ,1116,165,1281,Ex,Y,SBrkr,1620,1620,150000
TA,Unf,0,1064,1064,Ex,Y,FuseA,1166,1639,115000
Gd,Unf,0,840,840,Ex,Y,SBrkr,840,1680,177000
Ex,Unf,0,1063,1063,Ex,Y,SBrkr,1071,2172,280000
Ex,GLQ,789,245,1034,Ex,Y,SBrkr,1050,2078,339750
TA,Unf,0,1276,1276,TA,Y,FuseA,1276,1276,60000
TA,Rec,1056,0,1056,TA,N,SBrkr,1056,1056,145000
Ex,GLQ,578,892,1470,Ex,Y,SBrkr,1478,1478,222000
TA,Unf,0,1008,1008,Gd,Y,FuseA,1028,1028,115000
Gd,BLQ,50,499,1080,Ex,Y,SBrkr,1080,2097,228000
Gd,GLQ,24,1316,1340,Ex,Y,SBrkr,1340,1340,181134
TA,ALQ,209,463,672,TA,Y,SBrkr,672,1400,149500
Gd,BLQ,1128,242,1370,TA,N,FuseA,1370,2624,239000
