BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,SalePrice
0,2,1,4,1,Gd,10,BuiltIn,Fin,258000
0,2,1,3,1,TA,7,BuiltIn,Fin,168000
1,2,0,3,1,TA,8,Attchd,Unf,150000
0,1,0,3,1,TA,6,Detchd,Unf,115000
0,2,0,4,1,TA,8,Attchd,Unf,177000
0,2,1,3,1,Gd,9,Attchd,RFn,280000
1,2,1,3,1,Ex,8,Attchd,Fin,339750
0,1,0,3,1,TA,5,Attchd,Unf,60000
1,1,0,3,1,TA,5,Attchd,Fin,145000
1,2,1,2,1,Gd,7,Attchd,Fin,222000
0,1,0,2,1,TA,5,Detchd,Unf,115000
0,2,1,3,1,Gd,9,Attchd,Unf,228000
0,2,0,3,1,Gd,6,Attchd,Fin,181134
0,1,1,3,1,TA,6,Attchd,Fin,149500
1,2,1,4,1,TA,10,Detchd,Unf,239000
1,1,1,3,1,TA,7,Detchd,Unf,126000
1,1,0,3,1,TA,6,Attchd,Unf,142000
2,2,0,2,2,TA,8,Attchd,Fin,206300
0,2,0,3,1,Gd,8,Attchd,Fin,215000
0,1,0,2,1,TA,4,Attchd,RFn,113000
1,2,1,4,1,Gd,8,Attchd,Fin,315000
1,1,0,2,1,TA,6,Attchd,RFn,139000
0,1,1,3,1,TA,6,Detchd,Unf,135000
1,2,0,2,1,Gd,5,Attchd,Fin,275000
0,1,0,3,1,TA,5,Detchd,Unf,109008
1,2,0,2,1,Gd,6,Attchd,RFn,195400
1,2,0,3,1,Gd,6,Attchd,Unf,175000
0,1,1,2,1,TA,4,Detchd,Unf,85400
1,1,1,2,1,TA,6,Detchd,Unf,122500
0,2,1,3,1,TA,7,Attchd,Fin,181000
1,2,1,3,1,Gd,6,Attchd,RFn,212000
0,1,0,2,1,TA,6,Detchd,Unf,116000
0,1,0,2,1,TA,4,Detchd,Unf,119000
0,1,0,2,1,Gd,4,Detchd,Unf,90350
0,1,0,3,1,Gd,7,Detchd,Unf,110000
1,2,0,2,1,Ex,10,Attchd,Fin,555000
0,2,0,3,1,TA,8,Detchd,Unf,162900
0,2,0,2,1,Gd,6,Attchd,Fin,172500
1,2,1,4,1,Gd,8,Attchd,Unf,210000
0,1,0,3,1,TA,7,Attchd,Unf,127500
0,2,1,2,1,Gd,6,Attchd,Fin,190000
0,2,1,4,1,Gd,10,Attchd,Fin,199900
0,2,0,3,1,TA,7,Detchd,Unf,119500
0,1,1,2,1,TA,6,Detchd,Unf,120000
0,1,0,2,1,Gd,5,Detchd,Unf,110000
1,2,0,2,1,Gd,5,Attchd,Unf,280000
1,2,1,3,1,TA,7,Attchd,Fin,204000
0,2,1,3,1,Gd,6,Attchd,RFn,210000
2,2,0,4,2,TA,8,Detchd,Unf,188000
0,1,1,3,1,TA,6,Attchd,Unf,175500
0,1,0,4,1,TA,7,Detchd,Unf,98000
1,1,0,2,1,Gd,6,Attchd,Fin,256000
0,1,0,3,1,Gd,7,Detchd,Unf,161000
1,1,0,3,1,Gd,5,Detchd,Unf,110000
1,2,1,3,1,TA,8,BuiltIn,Fin,263435
1,1,0,3,1,Gd,6,Detchd,RFn,155000
0,1,0,3,1,TA,5,Detchd,Unf,62383
0,1,1,3,1,TA,6,Detchd,Unf,188700
0,2,0,2,1,Gd,6,Attchd,Fin,178740
1,1,0,2,1,TA,5,Attchd,Unf,167000
0,1,1,3,1,Gd,7,Attchd,Unf,146500
0,2,0,3,1,Gd,7,Attchd,RFn,250000
0,2,1,3,1,Gd,7,Attchd,RFn,187000
1,1,1,1,1,Gd,4,Attchd,RFn,212000
0,2,1,3,1,TA,8,Attchd,RFn,190000
1,1,0,2,1,TA,5,Basment,RFn,148000
1,2,0,2,1,Gd,7,Attchd,RFn,440000
1,2,0,2,1,Ex,6,Attchd,RFn,251000
1,1,0,2,1,TA,5,Detchd,Unf,132500
1,2,0,3,1,Gd,7,Attchd,Fin,208900
0,2,1,3,1,Ex,9,BuiltIn,Fin,380000
1,2,0,3,1,Gd,7,Attchd,RFn,297000
0,1,0,2,1,TA,7,Detchd,Unf,89471
1,2,0,3,1,Gd,8,Attchd,Fin,326000
1,2,0,2,1,Ex,6,Attchd,Fin,374000
1,1,1,4,1,Ex,7,Attchd,Unf,155000
1,2,0,2,1,TA,5,Attchd,Unf,164000
1,1,0,3,1,Gd,6,Detchd,Unf,132500
0,1,0,3,1,Gd,5,Attchd,Unf,147000
1,1,1,3,1,TA,6,Attchd,RFn,156000
0,2,0,3,1,TA,7,Attchd,Unf,175000
0,2,0,3,2,TA,10,Attchd,Unf,160000
1,1,0,1,1,Gd,3,Attchd,Unf,86000
0,1,1,3,1,TA,4,BuiltIn,Fin,115000
1,1,0,3,1,Fa,5,Attchd,Unf,133000
0,2,1,3,1,TA,8,Attchd,RFn,172785
0,1,1,3,1,TA,6,Detchd,Unf,155000
0,1,0,2,1,TA,4,Attchd,Unf,91300
1,3,0,4,1,Gd,10,Attchd,RFn,430000
1,2,0,4,1,TA,8,Detchd,Unf,184000
0,1,0,3,1,Gd,5,Attchd,Fin,130000
0,1,0,2,1,TA,5,Attchd,Fin,120000
0,1,1,3,1,TA,7,Detchd,Unf,113000
0,2,1,3,1,Gd,7,Attchd,RFn,226700
1,1,0,2,1,TA,6,Detchd,Unf,140000
1,2,0,1,1,TA,6,Attchd,Fin,289000
0,2,1,3,1,TA,6,Attchd,Unf,147000
0,2,0,4,2,TA,10,Detchd,Unf,124500
0,2,1,3,1,Gd,8,Attchd,RFn,215000
0,2,0,2,1,Gd,4,Attchd,Fin,208300
0,2,0,3,1,Gd,7,Detchd,Unf,161000
1,1,0,3,1,TA,6,Attchd,RFn,124500
1,1,0,2,1,TA,6,CarPort,Unf,164900
0,2,0,2,1,Gd,6,Attchd,RFn,202665
1,1,0,3,1,TA,5,Detchd,Unf,129900
0,1,1,3,1,TA,5,Attchd,Unf,134000
0,1,0,2,1,TA,5,Detchd,Unf,96500
1,2,1,3,1,Ex,9,Attchd,Fin,402861
0,2,1,3,1,TA,7,Attchd,RFn,158000
0,2,1,3,1,Gd,7,Attchd,RFn,265000
1,2,1,3,1,TA,7,Attchd,RFn,211000
0,1,1,3,1,Gd,9,Detchd,Unf,234000
0,1,1,3,1,TA,6,Attchd,Unf,150000
0,2,0,3,1,TA,7,Detchd,Unf,159000
1,3,1,3,1,Ex,11,BuiltIn,Fin,184750
1,2,1,3,1,Gd,8,Attchd,Fin,315750
0,2,0,3,1,Gd,6,Attchd,Unf,176000
0,1,0,2,1,TA,4,Attchd,Unf,132000
1,2,1,3,1,Ex,11,Attchd,Fin,446261
1,2,0,3,1,Gd,5,Attchd,RFn,175000
0,2,0,3,1,TA,6,Detchd,Fin,128000
0,2,1,3,1,Gd,6,Attchd,Fin,178000
0,2,1,3,1,Gd,8,Attchd,Fin,188000
0,1,0,3,1,TA,5,Detchd,Unf,111250
0,1,1,3,1,TA,7,Attchd,Unf,158000
1,2,0,3,1,Gd,6,Attchd,RFn,272000
1,2,0,2,1,Ex,8,Attchd,Fin,315000
0,2,1,4,1,Gd,8,BuiltIn,Fin,248000
1,2,0,3,1,Gd,7,Attchd,Fin,213250
1,1,0,1,1,TA,4,Attchd,Fin,133000
1,2,1,3,1,Gd,7,Attchd,RFn,179665
0,2,1,4,1,Gd,9,Attchd,Unf,229000
0,1,1,3,1,TA,6,Detchd,Unf,210000
1,1,0,2,1,TA,5,Detchd,Unf,129500
